,country,latitude,gdp
0,Canada,62.0,43253
1,Russia,61.0,24298
2,Norway,68.5,64363
3,United States,28.5,53001
4,Finland,64.5,40045
5,Sweden,62.0,43407
6,Iceland,65.0,41001
7,United Kingdom,0.5,36208
8,United Kingdom,54.5,36208
9,Estonia,58.0,26052
10,Latvia,56.5,22832
11,Denmark,55.5,43080
12,Lithuania,54.5,25374
13,Belarus,53.5,17623
14,Ireland,53.0,44663
15,Kazakhstan,47.5,23038
16,Germany,51.0,43475
17,Poland,51.5,23273
18,Ukraine,48.0,8651
19,Mongolia,46.5,9293
20,Belgium,50.0,40760
21,France,46.0,39813
22,Czech Republic,49.5,27347
23,Luxembourg,49.5,90333
24,Slovakia,48.0,26616
25,Austria,47.5,44402
26,Hungary,46.5,23236
27,Moldova,46.5,4666
28,Romania,45.5,17440
29,Switzerland,46.0,53977
30,Italy,41.0,34103
31,Slovenia,45.5,28512
32,Croatia,44.0,20222
33,Serbia,44.0,12465
34,Bosnia and Herzegovina,43.5,9563
35,Uzbekistan,41.0,5176
36,Japan,32.5,36654
37,Bulgaria,42.5,16518
38,San Marino,43.0,62766
39,Spain,35.0,31942
40,Georgia,42.0,7156
41,Montenegro,42.0,14666
42,Kosovo,42.0,8866
43,Kyrgyzstan,41.0,3230
44,Turkmenistan,38.5,12863
45,Albania,40.5,10596
46,Macedonia,41.0,12587
47,Portugal,37.0,25643
48,Turkey,38.5,18874
49,Azerbaijan,39.5,17028
50,Greece,37.5,25126
51,Armenia,39.5,7034
52,Tajikistan,38.5,2536
53,Iran,32.0,16165
54,Afghanistan,33.5,1924
55,Iraq,33.0,14367
56,Tunisia,33.5,10998
57,Pakistan,30.0,4574
58,Algeria,27.5,13788
59,Malta,35.5,30567
60,Morocco,31.0,7356
61,Cyprus,34.5,28748
62,India,20.5,5450
63,Lebanon,33.5,17326
64,Jordan,31.0,11639
65,Israel,31.0,32717
66,Libya,26.0,20681
67,Mexico,23.0,17390
68,Saudi Arabia,24.0,51779
69,Egypt,26.0,10870
70,Nepal,28.0,2245
71,Kuwait,29.0,70785
72,Bhutan,27.0,7197
73,Bangladesh,23.0,3167
74,Oman,21.0,43304
75,Taiwan,18.0,41539
76,Mauritania,20.0,3187
77,Bahrain,25.5,49633
78,Qatar,25.0,145894
79,United Arab Emirates,24.0,63181
80,Mali,17.5,1493
81,Niger,17.0,984
82,Chad,15.0,2432
83,Vietnam,15.5,5295
84,Hong Kong,22.0,52984
85,Laos,17.5,4666
86,Sudan,16.5,4429
87,Philippines,12.5,6597
88,Thailand,12.5,14136
89,Haiti,19.0,1703
90,Dominican Republic,18.0,12173
91,Yemen,15.5,3838
92,Jamaica,17.5,8487
93,Belize,16.5,8014
94,Eritrea,14.5,1197
95,Antigua and Barbuda,16.5,21967
96,Saint Kitts and Nevis,17.0,19823
97,Guatemala,15.0,7290
98,Cape Verde,15.5,6248
99,Senegal,14.0,2243
100,Honduras,14.5,4592
101,Venezuela,7.5,18453
102,Dominica,15.0,10372
103,Burkina Faso,12.0,1638
104,Nicaragua,12.5,4593
105,Ethiopia,8.5,1427
106,Marshall Islands,9.0,3128
107,Cambodia,12.0,3056
108,El Salvador,13.5,7783
109,Saint Lucia,13.5,11150
110,Nigeria,8.5,5746
111,Colombia,4.5,12776
112,Saint Vincent and the Grenadines,12.5,10560
113,Barbados,13.0,16015
114,Cameroon,7.0,2861
115,Djibouti,11.0,2916
116,Guinea,9.5,1321
117,Guinea-Bissau,11.0,1411
118,Grenada,11.5,11481
119,Benin,9.0,1793
120,South Sudan,7.5,2401
121,Trinidad and Tobago,10.5,30197
122,Costa Rica,9.5,14344
123,Ghana,7.5,4029
124,Togo,8.5,1390
125,Central African Republic,6.5,604
126,Sierra Leone,8.0,1924
127,Panama,8.0,19080
128,Liberia,6.0,887
129,Sri Lanka,7.0,9583
130,Guyana,4.5,6573
131,Palau,5.5,15005
132,Malaysia,3.5,23160
133,Maldives,3.5,11903
134,Suriname,3.5,16080
135,Indonesia,3.0,9635
136,Kenya,0.5,3009
137,Brazil,14.0,14987
138,Brunei,4.5,73823
139,Uganda,1.5,1681
140,Equatorial Guinea,1.0,33767
141,Gabon,0.5,20520
142,Kiribati,4.5,1562
143,Singapore,1.0,78762
144,Ecuador,2.0,10908
145,Peru,9.0,11557
146,Tanzania,5.5,1834
147,Rwanda,1.5,1608
148,Papua New Guinea,6.0,2290
149,Burundi,3.0,877
150,Seychelles,6.5,23532
151,Angola,11.0,7978
152,Solomon Islands,9.0,1829
153,Tuvalu,7.5,3168
154,Zambia,13.0,3926
155,Australia,31.5,45138
156,Malawi,13.0,748
157,Bolivia,15.5,5928
158,Mauritius,15.0,17118
159,Mozambique,18.0,1046
160,Comoros,11.5,1617
161,Madagascar,18.5,1398
162,Fiji,16.5,7838
163,Vanuatu,16.5,2449
164,Samoa,13.5,5041
165,Tonga,18.5,4856
166,Zimbabwe,18.5,1954
167,Namibia,22.0,10234
168,Chile,36.5,22534
169,Botswana,21.5,15241
170,Paraguay,23.0,8064
171,Argentina,38.0,22363
172,South Africa,34.0,12507
173,Swaziland,26.0,7646
174,Lesotho,29.0,2765
175,New Zealand,40.5,33626
176,Uruguay,32.5,19679
